psc;ZUJ;ZUJ_pravdepodobnost
93030;501441;0.29354838709677417
93030;580597;0.110752688172043
93028;501824;1.0
93025;502006;1.0
93021;501816;0.3595238095238095
93021;555541;0.2029100529100529
93021;501654;0.43756613756613755
93016;502014;1.0
93014;501557;0.5892086330935252
93014;555649;0.41079136690647483
93013;555568;0.2904364569961489
93013;555576;0.709563543003851
93012;501816;1.0
93011;501921;1.0
93010;501611;1.0
93008;501531;0.6200527704485488
93008;501468;0.37994722955145116
93007;501760;0.5950782997762863
93007;501689;0.40492170022371365
93006;501875;0.44600526777875327
93006;501930;0.5539947322212467
93005;501573;1.0
93004;501671;0.2187784867821331
93004;501450;0.5177757520510483
93004;501964;0.2634457611668186
93003;501701;0.33912503878374184
93003;501743;0.22060192367359602
93003;501697;0.4402730375426621
93002;555746;0.17626678215677782
93002;501859;0.7384148982243396
93001;501981;1.0
92901;501883;0.026850098029442063
92901;501867;0.03030605124115243
92901;555720;0.03203402784700761
92901;501719;0.04871564815737879
92901;555673;0.04565845877778885
92901;555665;0.039278237463862026
92901;501506;0.011397999534775528
92901;501433;0.7657594789485926
92601;504009;1.0
92592;503843;0.6604334891627709
92592;504084;0.33956651083722905
92563;555789;1.0
92562;504114;1.0
92555;504157;1.0
92554;504181;0.4484536082474227
92554;504033;0.23969072164948454
92554;503967;0.3118556701030928
92553;503959;1.0
92552;504050;1.0
92551;504041;1.0
92545;503673;0.7193320488118176
92545;503789;0.2806679511881824
92542;504106;1.0
92541;503754;0.2544045102184637
92541;503878;0.7455954897815363
92532;504122;1.0
92528;503975;0.5614035087719298
92528;504149;0.43859649122807015
92527;504149;1.0
92523;503835;1.0
92522;504131;0.9045956951716114
92522;503827;0.0954043048283886
92521;582638;0.09704852426213106
92521;504017;0.9029514757378689
92509;503860;1.0
92508;503703;0.4784758580570099
92508;503860;0.5215241419429901
92507;503924;1.0
92506;503690;1.0
92505;504173;0.7615489130434783
92504;504076;1.0
92503;503771;1.0
92502;503771;0.612878497508624
92502;503746;0.387121502491376
92501;555754;1.0
92401;503843;0.0889219501029984
92401;503762;0.04978255893797207
92401;503665;0.8612954909590296
92242;507288;1.0
92231;507130;0.1659850034083163
92066;556645;0.3363329583802025
92066;556602;0.6636670416197975
92065;507521;1.0
92064;507172;1.0
92063;507415;1.0
92062;507075;0.8681318681318682
92062;556611;0.13186813186813187
92061;506958;0.2714486638537271
92061;507326;0.29957805907172996
92061;506966;0.4289732770745429
92056;507024;1.0
92055;506800;1.0
92052;556521;0.3025038323965253
92052;507539;0.3438937148696985
92052;556530;0.35360245273377616
92042;507792;0.24573758339510748
92042;518620;0.12972572275759822
92042;506885;0.6245366938472943
92041;507253;1.0
92003;507032;1.0
92001;507202;0.0367836558736704
92001;507032;0.9632163441263296
91933;507661;1.0
92241;506991;1.0
92231;507563;0.4662576687116564
92231;507491;0.36775732788002724
92221;558338;0.13378220140515223
92221;556581;0.1519320843091335
92221;507342;0.7142857142857143
92211;507466;1.0
